Host.Family,BLFamilyLatin,species_clean,species_jetz,Mite.Genus,Mite.Genus2,sociality,foraging_cat,elevation_cat,TipLabel,Sample.Full..,keycol,valuecol
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,,,1,other,montane_manu,Trichothraupis_melanops,SP120764,Mite.Group,Feather
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,,,1,other,montane_manu,Trichothraupis_melanops,SP110004,Mite.Group2,
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,,,1,other,montane_manu,Trichothraupis_melanops,SP110038,Mite.Group2,
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,,,1,other,montane_manu,Trichothraupis_melanops,SP110320,Mite.Group2,
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,,,1,other,montane_manu,Trichothraupis_melanops,SP120062,Mite.Group2,
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,,,1,other,montane_manu,Trichothraupis_melanops,SP120670,Mite.Group2,
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,,,1,other,montane_manu,Trichothraupis_melanops,SP121022,Mite.Group2,
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,,,1,other,montane_manu,Trichothraupis_melanops,SP120764,Mite.Group2,Oribatida (?)
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP110027,Mite.Group,Feather
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP110039,Mite.Group,Feather
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP110047,Mite.Group,Feather
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP110069,Mite.Group,Feather
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP120954,Mite.Group,Feather
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP121019,Mite.Group,Feather
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP110367,Mite.Group,Feather?
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP121046,Mite.Group,Trombiculid
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP121002,Mite.Group,Unknown
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP110027,Mite.Group2,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP110039,Mite.Group2,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP110047,Mite.Group2,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP110069,Mite.Group2,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP120954,Mite.Group2,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP121019,Mite.Group2,Trombiculid
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP110367,Mite.Group2,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP121046,Mite.Group2,Mesostigmatid/ Feather
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP121002,Mite.Group2,
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W120518,Mite.Group,Feather
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W120525,Mite.Group,Feather
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W120530,Mite.Group,Feather
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W130188,Mite.Group,Feather
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W130559,Mite.Group,Feather
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W130566,Mite.Group,Feather
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W130603,Mite.Group,Feather
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W130623,Mite.Group,Feather
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W130648,Mite.Group,Feather
