species_jetz,sociality,Powder.lvl,elevation,total_parasites
Myrmoborus_leucophrys,1,low,889,0
Habia_rubica,1,low,413,2
Pipra_fasciicauda,1,low/med,413,1
Terenotriccus_erythrurus,1,med,413,3
Mionectes_macconnelli,1,med,414,71
Ramphotrigon_fuscicauda,1,low,431,9
Pipra_fasciicauda,1,low,413,26
Terenotriccus_erythrurus,1,low,413,10
Myrmoborus_myotherinus,1,low,426,31
Pipra_fasciicauda,1,low,413,53
Geotrygon_montana,0,low,426,0
Geotrygon_montana,0,low,426,9
Laniocera_hypopyrra,0,low,416,1
Mionectes_macconnelli,1,high,414,425
Automolus_ochrolaemus,1,low,680,0
Xenops_tenuirostris,1,low,430,0
Mionectes_macconnelli,1,med,414,135
Pipra_fasciicauda,1,low,413,15
Pipra_fasciicauda,1,low,413,19
Tangara_schrankii,1,med,421,4
Mionectes_macconnelli,1,med,414,18
Automolus_ochrolaemus,1,none,680,0
Mionectes_oleagineus,1,low,421,79
Pteroglossus_azara,0,high,714,2
Pteroglossus_azara,0,low,714,3
Turdus_albicollis,0,med,411.5,5
Synallaxis_cabanisi,0,low,1084,10
Lepidothrix_coronata,1,low,417.5,2
Mionectes_oleagineus,1,low,421,0
Mionectes_oleagineus,1,low,421,6
Lepidothrix_coronata,1,low,417.5,5
Mionectes_macconnelli,1,low,414,4
Pipra_fasciicauda,1,low,413,20
Mionectes_oleagineus,1,low,421,1
Gymnopithys_salvini,0,high,415,0
Mionectes_oleagineus,1,low,421,27
Pteroglossus_beauharnaesii,0,high,426,10
Pteroglossus_beauharnaesii,0,med,426,11
Mionectes_oleagineus,1,med,421,12
Mionectes_oleagineus,1,low,421,11
Lepidothrix_coronata,1,low,417.5,0
Platyrinchus_coronatus,0,low,413,0
Pipra_fasciicauda,1,low,413,0
Automolus_ochrolaemus,1,low,680,1
Mionectes_olivaceus,1,low,1262,0
Mionectes_oleagineus,1,med,421,11
Gymnopithys_salvini,0,low,415,1
Mionectes_oleagineus,1,low,421,18
Platyrinchus_coronatus,0,low,413,0
Lepidothrix_coronata,1,low,417.5,1
Euphonia_xanthogaster,1,low,1337,19
Mionectes_olivaceus,1,low,1262,0
Mionectes_olivaceus,1,med,1262,2
Xenops_minutus,1,med,414,0
Gymnopithys_salvini,0,med,415,1
Terenotriccus_erythrurus,1,low,413,16
Catharus_ustulatus,0,med,1307,20
Thamnophilus_schistaceus,1,low,439,15
Myrmoborus_myotherinus,1,low,426,0
Mionectes_oleagineus,1,low,421,1
Mionectes_oleagineus,1,low,421,0
Lepidothrix_coronata,1,low,417.5,1
Mionectes_olivaceus,1,low,1262,80
Pipra_fasciicauda,1,low,413,0
Pipra_fasciicauda,1,med,413,3
Arremon_taciturnus,1,low,429,17
Pipra_fasciicauda,1,low,413,0
Thamnophilus_schistaceus,1,low,439,1
Campylopterus_largipennis,0,low,457,24
Pipra_fasciicauda,1,med,413,7
Pipra_fasciicauda,1,low,413,6
Lepidothrix_coronata,1,high,417.5,6
Turdus_albicollis,0,med,411.5,6
Mionectes_oleagineus,1,low,421,3
Lepidothrix_coronata,1,med,417.5,1
Arremon_taciturnus,1,med,429,16
Mionectes_oleagineus,1,low,421,0
Mionectes_olivaceus,1,med,1262,6
Mionectes_olivaceus,1,low,1262,0
Arremon_taciturnus,1,low,429,0
Mionectes_olivaceus,1,low,1262,12
Mionectes_olivaceus,1,low,1262,82
Xenops_minutus,1,low,414,3
Pipra_fasciicauda,1,med,413,0
Tangara_schrankii,1,low,421,1
Mionectes_oleagineus,1,low,421,2
Hyloctistes_subulatus,1,low,419,0
Neoctantes_niger,0,low,414,0
Catharus_ustulatus,0,low,1307,11
Pipra_fasciicauda,1,low,413,0
Epinecrophylla_erythrura,1,low,424,1
Mionectes_macconnelli,1,low,414,5
Catharus_ustulatus,0,low,1307,66
Mionectes_oleagineus,1,low,421,2
Cyanocompsa_cyanoides,1,med,423.5,59
Mionectes_olivaceus,1,med,1262,2
Geotrygon_montana,0,low,426,5
Thamnophilus_schistaceus,1,low,439,1
Mionectes_macconnelli,1,low,414,2
Trogon_violaceus,1,med,583,0
Lepidothrix_coronata,1,low,417.5,1
Saltator_maximus,1,med,989,2
Pipra_fasciicauda,1,med,413,0
Mionectes_olivaceus,1,high,1262,0
Mionectes_macconnelli,1,high,414,502
Cyanocompsa_cyanoides,1,high,423.5,278
Mionectes_olivaceus,1,high,1262,149
Phlegopsis_nigromaculata,0,med,413,15
Mionectes_olivaceus,1,low,1262,16
Mionectes_macconnelli,1,high,414,353
Xenops_minutus,1,med,414,33
Simoxenops_ucayalae,1,low,717,248
Myrmeciza_goeldii,1,low,438,11
Thamnophilus_schistaceus,1,low,439,8
Mionectes_macconnelli,1,med,414,5
Thamnophilus_schistaceus,1,low,439,2
Terenotriccus_erythrurus,1,med,413,48
Gymnopithys_salvini,0,low,415,1
Pipra_fasciicauda,1,low,413,16
Mionectes_striaticollis,1,low,1573,1003
Pipra_fasciicauda,1,low,413,14
Myrmotherula_hauxwelli,1,low,415,0
Myrmotherula_hauxwelli,1,very low,415,0
Myrmotherula_hauxwelli,1,very low,415,1
Pipra_fasciicauda,1,high,413,107
Myrmotherula_hauxwelli,1,low,415,1
Myrmeciza_goeldii,1,low,438,13
Thamnophilus_schistaceus,1,low,439,32
Ramphastos_tucanus,0,low,425,0
Anabazenops_dorsalis,1,low,827.5,2
Myrmotherula_hauxwelli,1,low,415,0
Gymnopithys_salvini,0,med,415,12
Myrmotherula_hauxwelli,1,low,415,2
Pipra_fasciicauda,1,high,413,92
Lepidothrix_coronata,1,low,417.5,25
Pipra_fasciicauda,1,med,413,27
Myrmotherula_hauxwelli,1,low,415,0
Pipra_fasciicauda,1,med,413,7
Myrmoborus_myotherinus,1,low,426,24
Myrmotherula_hauxwelli,1,high,415,5
Epinecrophylla_leucophthalma,1,low,415,4
Myrmotherula_hauxwelli,1,low,415,0
