"","species_taxonomy_SACC_2021","deg_binary","species","species_jetz","TipLabel"
"239","Thlypopsis_ornata",22,"Thlypopsis ornata","Thlypopsis ornata","Thlypopsis_ornata"
"240","Thlypopsis_ruficeps",70,"Thlypopsis ruficeps","Thlypopsis ruficeps","Thlypopsis_ruficeps"
"241","Thlypopsis_superciliaris",46,"Hemispingus superciliaris","Hemispingus superciliaris","Hemispingus_superciliaris"
"242","Thraupis_episcopus",19,"Thraupis episcopus","Thraupis episcopus","Thraupis_episcopus"
"243","Thraupis_palmarum",49,"Thraupis palmarum","Thraupis palmarum","Thraupis_palmarum"
"244","Thripadectes_melanorhynchus",52,"Thripadectes melanorhynchus","Thripadectes melanorhynchus","Thripadectes_melanorhynchus"
"245","Thripophaga_fusciceps",12,"Thripophaga fusciceps","Thripophaga fusciceps","Thripophaga_fusciceps"
"246","Tityra_semifasciata",29,"Tityra semifasciata","Tityra semifasciata","Tityra_semifasciata"
"247","Todirostrum_chrysocrotaphum",19,"Todirostrum chrysocrotaphum","Todirostrum chrysocrotaphum","Todirostrum_chrysocrotaphum"
"248","Tolmomyias_assimilis",46,"Tolmomyias assimilis","Tolmomyias assimilis","Tolmomyias_assimilis"
