"","species_pair","species","species2","low_limit","high_limit"
"161","Myrmoborus.leucophrys&Epinecrophylla.ornata","Myrmoborus.leucophrys","Epinecrophylla.ornata",478.8607096,1130.37757
"162","Myrmoborus.lophotes&Epinecrophylla.ornata","Myrmoborus.lophotes","Epinecrophylla.ornata",478.8607096,1158.186905
"163","Myrmoborus.myotherinus&Epinecrophylla.ornata","Myrmoborus.myotherinus","Epinecrophylla.ornata",478.8607096,747.5128609
"164","Myrmotherula.axillaris&Epinecrophylla.ornata","Myrmotherula.axillaris","Epinecrophylla.ornata",478.8607096,534.2222829
"165","Myrmotherula.brachyura&Epinecrophylla.ornata","Myrmotherula.brachyura","Epinecrophylla.ornata",478.8607096,776.2948127
"166","Myrmotherula.longicauda&Epinecrophylla.ornata","Myrmotherula.longicauda","Epinecrophylla.ornata",969.1766003,1431.987319
"167","Myrmotherula.menetriesii&Epinecrophylla.ornata","Myrmotherula.menetriesii","Epinecrophylla.ornata",478.8607096,553.0720514
"168","Myrmotherula.schisticolor&Epinecrophylla.ornata","Myrmotherula.schisticolor","Epinecrophylla.ornata",1242.949247,1627.628265
"169","Oneillornis.salvini&Epinecrophylla.ornata","Oneillornis.salvini","Epinecrophylla.ornata",478.8607096,508.6982498
"170","Pyriglena.leuconota&Epinecrophylla.ornata","Pyriglena.leuconota","Epinecrophylla.ornata",1036.267373,1627.628265
"171","Rhegmatorhina.melanosticta&Epinecrophylla.ornata","Rhegmatorhina.melanosticta","Epinecrophylla.ornata",478.8607096,1011.101573
"172","Sciaphylax.hemimelaena&Epinecrophylla.ornata","Sciaphylax.hemimelaena","Epinecrophylla.ornata",478.8607096,1212.630708
"173","Thamnomanes.ardesiacus&Epinecrophylla.ornata","Thamnomanes.ardesiacus","Epinecrophylla.ornata",478.8607096,525.366705
"174","Thamnomanes.schistogynus&Epinecrophylla.ornata","Thamnomanes.schistogynus","Epinecrophylla.ornata",478.8607096,782.9777507
"175","Thamnophilus.caerulescens&Epinecrophylla.ornata","Thamnophilus.caerulescens","Epinecrophylla.ornata",1435.312561,1627.628265
"176","Thamnophilus.palliatus&Epinecrophylla.ornata","Thamnophilus.palliatus","Epinecrophylla.ornata",941.374244,1450.684489
"177","Thamnophilus.schistaceus&Epinecrophylla.ornata","Thamnophilus.schistaceus","Epinecrophylla.ornata",478.8607096,848.7361562
"178","Cercomacra.manu&Epinecrophylla.spodionota","Cercomacra.manu","Epinecrophylla.spodionota",854.8672431,1047.448962
"179","Cercomacroides.serva&Epinecrophylla.spodionota","Cercomacroides.serva","Epinecrophylla.spodionota",854.8672431,1423.114472
"180","Cymbilaimus.sanctaemariae&Epinecrophylla.spodionota","Cymbilaimus.sanctaemariae","Epinecrophylla.spodionota",854.8672431,1161.333136
"181","Dysithamnus.mentalis&Epinecrophylla.spodionota","Dysithamnus.mentalis","Epinecrophylla.spodionota",854.8672431,1423.114472
"182","Epinecrophylla.ornata&Epinecrophylla.spodionota","Epinecrophylla.ornata","Epinecrophylla.spodionota",854.8672431,1423.114472
"183","Herpsilochmus.axillaris&Epinecrophylla.spodionota","Herpsilochmus.axillaris","Epinecrophylla.spodionota",920.4601664,1423.114472
"184","Hylophylax.naevius&Epinecrophylla.spodionota","Hylophylax.naevius","Epinecrophylla.spodionota",854.8672431,1288.421472
"185","Hypocnemis.subflava&Epinecrophylla.spodionota","Hypocnemis.subflava","Epinecrophylla.spodionota",854.8672431,1423.114472
