Host.Family,BLFamilyLatin,species_clean,species_jetz,sociality,foraging_cat,elevation_cat,TipLabel,Full_Label,keycol,valuecol
Pipridae,Pipridae,Pipra fasciicauda,Pipra fasciicauda,1,ground-understory,lowland_iquitos,Pipra_fasciicauda,P110124,Lice.Genus2,Philopterus-like
Pipridae,Pipridae,Pipra fasciicauda,Pipra fasciicauda,1,ground-understory,lowland_iquitos,Pipra_fasciicauda,P116121,Lice.Genus2,Philopterus-like
Pipridae,Pipridae,Pipra fasciicauda,Pipra fasciicauda,1,ground-understory,lowland_iquitos,Pipra_fasciicauda,P116111,Lice.Genus2,Philopterus-like
Pipridae,Pipridae,Pipra fasciicauda,Pipra fasciicauda,1,ground-understory,lowland_iquitos,Pipra_fasciicauda,P116022,Lice.Genus2,Ricinus
Pipridae,Pipridae,Pipra fasciicauda,Pipra fasciicauda,1,ground-understory,lowland_iquitos,Pipra_fasciicauda,P116014,Lice.Genus2,Myrsidea
Pipridae,Pipridae,Pipra fasciicauda,Pipra fasciicauda,1,ground-understory,lowland_iquitos,Pipra_fasciicauda,P110193,Lice.Genus2,Myrsidea
Pipridae,Pipridae,Pipra fasciicauda,Pipra fasciicauda,1,ground-understory,lowland_iquitos,Pipra_fasciicauda,P115964,Lice.Genus2,Myrsidea
Pipridae,Pipridae,Pipra fasciicauda,Pipra fasciicauda,1,ground-understory,lowland_iquitos,Pipra_fasciicauda,P116012,Lice.Genus3,unknown eggs
Pipridae,Pipridae,Pipra fasciicauda,Pipra fasciicauda,1,ground-understory,lowland_iquitos,Pipra_fasciicauda,P116111,Lice.Genus3,Ricinus
Pipridae,Pipridae,Ceratopipra chloromeros,Pipra chloromeros,1,ground-understory,lowland_iquitos,Pipra_chloromeros,P110357,Lice.Genus,Myrsidea
Pipridae,Pipridae,Ceratopipra chloromeros,Pipra chloromeros,1,ground-understory,lowland_iquitos,Pipra_chloromeros,P116054,Lice.Genus,Myrsidea
Pipridae,Pipridae,Ceratopipra chloromeros,Pipra chloromeros,1,ground-understory,lowland_iquitos,Pipra_chloromeros,P110360,Lice.Genus,Myrsidea
Pipridae,Pipridae,Ceratopipra chloromeros,Pipra chloromeros,1,ground-understory,lowland_iquitos,Pipra_chloromeros,P110034,Lice.Genus,Philopteridae
Pipridae,Pipridae,Ceratopipra chloromeros,Pipra chloromeros,1,ground-understory,lowland_iquitos,Pipra_chloromeros,P116171,Lice.Genus,Philopteridae
Pipridae,Pipridae,Ceratopipra chloromeros,Pipra chloromeros,1,ground-understory,lowland_iquitos,Pipra_chloromeros,P110122,Lice.Genus,Philopterus-like
Pipridae,Pipridae,Ceratopipra chloromeros,Pipra chloromeros,1,ground-understory,lowland_iquitos,Pipra_chloromeros,P110246,Lice.Genus,Ricinus
Pipridae,Pipridae,Ceratopipra chloromeros,Pipra chloromeros,1,ground-understory,lowland_iquitos,Pipra_chloromeros,P115955,Lice.Genus,Ricinus
Pipridae,Pipridae,Ceratopipra chloromeros,Pipra chloromeros,1,ground-understory,lowland_iquitos,Pipra_chloromeros,P110278,Lice.Genus,Ricinus
Pipridae,Pipridae,Ceratopipra chloromeros,Pipra chloromeros,1,ground-understory,lowland_iquitos,Pipra_chloromeros,P110357,Lice.Genus2,Philopterus-like
Pipridae,Pipridae,Ceratopipra chloromeros,Pipra chloromeros,1,ground-understory,lowland_iquitos,Pipra_chloromeros,P116054,Lice.Genus2,Philopterus-like
Pipridae,Pipridae,Ceratopipra chloromeros,Pipra chloromeros,1,ground-understory,lowland_iquitos,Pipra_chloromeros,P110360,Lice.Genus2,Ricinus
Pipridae,Pipridae,Ceratopipra chloromeros,Pipra chloromeros,1,ground-understory,lowland_iquitos,Pipra_chloromeros,P110122,Lice.Genus2,Myrsidea
Pipridae,Pipridae,Ceratopipra chloromeros,Pipra chloromeros,1,ground-understory,lowland_iquitos,Pipra_chloromeros,P110246,Lice.Genus2,Myrsidea
Pipridae,Pipridae,Ceratopipra chloromeros,Pipra chloromeros,1,ground-understory,lowland_iquitos,Pipra_chloromeros,P115955,Lice.Genus2,Myrsidea
Pipridae,Pipridae,Ceratopipra chloromeros,Pipra chloromeros,1,ground-understory,lowland_iquitos,Pipra_chloromeros,P110278,Lice.Genus2,Myrsidea
Pipridae,Pipridae,Ceratopipra chloromeros,Pipra chloromeros,1,ground-understory,lowland_iquitos,Pipra_chloromeros,P110278,Lice.Genus3,Philopterus-like
Tyrannidae,Tyrannidae,Phylloscartes ophthalmicus,Phylloscartes ophthalmicus,1,midhigh,lowland_iquitos,Phylloscartes_ophthalmicus,SP120068,Lice.Genus,Myrsidea
Tyrannidae,Tyrannidae,Phylloscartes ophthalmicus,Phylloscartes ophthalmicus,1,midhigh,lowland_iquitos,Phylloscartes_ophthalmicus,SP121322,Lice.Genus,Myrsidea
Tyrannidae,Tyrannidae,Phylloscartes ophthalmicus,Phylloscartes ophthalmicus,1,midhigh,lowland_iquitos,Phylloscartes_ophthalmicus,SP121333,Lice.Genus,Philopteridae?
Thamnophilidae,Thamnophilidae,Phlegopsis nigromaculata,Phlegopsis nigromaculata,0,ground,lowland_iquitos,Phlegopsis_nigromaculata,P115925,Lice.Genus,Myrsidea
"Furnariidae
",Furnariidae,Dendroma rufa,Philydor rufum,0,canopy,lowland_iquitos,Philydor_rufum,P116034,Lice.Genus,Myrsidea
Thamnophilidae,Thamnophilidae,Myrmoborus lophotes,Percnostola lophotes,1,ground-understory,lowland_iquitos,Percnostola_lophotes,P116116,Lice.Genus,Formicaphagus
Tityridae,Tyrannidae,Onychorhynchus coronatus,Onychorhynchus coronatus,0,midhigh,lowland_iquitos,Onychorhynchus_coronatus,V692,Lice.Genus,Philopterus
