Host.Family,BLFamilyLatin,species_clean,species_jetz,Mite.Group,Mite.Group2,sociality,foraging_cat,elevation_cat,TipLabel,Sample.Full..,keycol,valuecol
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,Feather,,1,other,montane_manu,Trichothraupis_melanops,SP110038,Mite.Genus2,
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,Feather,,1,other,montane_manu,Trichothraupis_melanops,SP110320,Mite.Genus2,
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,Feather,,1,other,montane_manu,Trichothraupis_melanops,SP120062,Mite.Genus2,
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,Feather,,1,other,montane_manu,Trichothraupis_melanops,SP120670,Mite.Genus2,
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,Feather,,1,other,montane_manu,Trichothraupis_melanops,SP121022,Mite.Genus2,
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,Feather,Oribatida (?),1,other,montane_manu,Trichothraupis_melanops,SP120764,Mite.Genus2,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,Feather,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP110027,Mite.Genus,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,Feather,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP110039,Mite.Genus,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,Feather,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP110047,Mite.Genus,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,Feather,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP110069,Mite.Genus,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,Feather,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP120954,Mite.Genus,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,Feather,Trombiculid,1,understory,montane_manu,Thripadectes_melanorhynchus,SP121019,Mite.Genus,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,Feather?,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP110367,Mite.Genus,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,Trombiculid,Mesostigmatid/ Feather,1,understory,montane_manu,Thripadectes_melanorhynchus,SP121046,Mite.Genus,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,Unknown,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP121002,Mite.Genus,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,Feather,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP110027,Mite.Genus2,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,Feather,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP110039,Mite.Genus2,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,Feather,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP110047,Mite.Genus2,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,Feather,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP110069,Mite.Genus2,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,Feather,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP120954,Mite.Genus2,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,Feather,Trombiculid,1,understory,montane_manu,Thripadectes_melanorhynchus,SP121019,Mite.Genus2,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,Feather?,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP110367,Mite.Genus2,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,Trombiculid,Mesostigmatid/ Feather,1,understory,montane_manu,Thripadectes_melanorhynchus,SP121046,Mite.Genus2,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,Unknown,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP121002,Mite.Genus2,
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,Feather,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W120518,Mite.Genus,
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,Feather,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W120525,Mite.Genus,
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,Feather,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W120530,Mite.Genus,
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,Feather,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W130188,Mite.Genus,
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,Feather,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W130559,Mite.Genus,
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,Feather,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W130566,Mite.Genus,
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,Feather,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W130603,Mite.Genus,
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,Feather,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W130623,Mite.Genus,
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,Feather,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W130648,Mite.Genus,
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,Feather,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W130654,Mite.Genus,
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,Feather,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W120518,Mite.Genus2,
