#No,Collection,Sample_group,Sample No. #,Full_Label,comment,Host Genus,Host Species,Host Order,Host Family,New Association,Lice Genus,Lice Species,Female,Male,Nimph,Eggs,Total,BoxLocation1,Lice Genus2,Lice Species2,Female2,Male2,Nimph2,Eggs2,Total2,BoxLocation2,Lice Genus3,Lice Species3,Female3,Male3,Nimph3,Eggs3,Total,BoxLocation3,total_lice
123,JUM,,1056,1056,,Cnipodectes,subbrunneus,Passeriformes,Tyrannidae,No,Myrsidea,rodriguesae?,0,0,1,,1,L-03,,,,,,,,,,,,,,,,,1
124,JUM,,1059,1059,,Cercomacroides,serva,Passeriformes,Thamnophilidae,Yes,Myrsidea,new sp?,0,2,0,,2,L-03,,,,,,,,,,,,,,,,,2
125,JEJ,,P115976,P115976,,Lanio,versicolor,Passeriformes,Thraupidae,Yes,Myrsidea,new sp?,5,2,13,,20,L-03,,,,,,,,,,,,,,,,,20
126,JUM,,1022,1022,,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,Yes,Ricinus,new sp?,0,0,0,,1,L-03,,,,,,,,,,,,,,,,,1
127,JUM,,1162,1162,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Myrsidea,dalgleishi?,0,0,1,,1,L-03,Rallicola,cephalosa?,2,0,0,,2,L-03,,,,,,,,,3
128,JUM,,1256,1256,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Rallicola,cephalosa?,0,0,1,,1,L-03,,,,,,,,,,,,,,,,,1
129,JUM,,1138,1138,,Geotrygon,montana,Passeriformes,Columbidae,No,Columbicola,macrourae?,4,0,0,,4,L-03,Physconelloides,cubanus?,2,0,2,,4,L-03,,,,,,,,,8
130,JUM,,1159,1159,,Dendrocincla,merula,Passeriformes,Furnariidae,Yes,Rallicola?,(fuliginosa/ deckeri/ antioquensis),0,0,1,,1,L-03,,,,,,,,,,,,,,,,,1
131,JUM,,1136,1136,,Dixiphia,pipra,Passeriformes,Pipridae,Yes,Rallicola?,new sp?,1,0,0,,1,L-03,,,,,,,,,,,,,,,,,1
132,JUM,,935,935,,Nonnula,brunnea,Piciformes,Bucconidae,Yes,Philopteridae?,new sp. (Mayriphilopterus?),2,1,1,,4,L-03,,,,,,,,,,,,,,,,,4
133,JUM,,1489,1489,,Nonnula,brunnea,Piciformes,Bucconidae,Yes,Philopteridae?,new sp. (Mayriphilopterus?),3,1,5,,9,L-03,,,,,,,,,,,,,,,,,9
134,JUM,,1582,1582,,Micromonacha,lanceolata,Piciformes,Bucconidae,Yes,Brueelia?,new sp?,0,0,3,,3,L-03,,,,,,,,,,,,,,,,,3
135,JEJ,P12,1372,P121372,,Malacoptila,semicincta,Piciformes,Bucconidae,No,Picicola?,osheai?,2,0,0,,2,L-03,,,,,,,,,,,,,,,,,2
136,JEJ,SP12,642,SP120642,,Rupicola,peruvianus,Passeriformes,Cotingidae,No,Cotingacola,rupicolae?,3,3,2,,8,L-03,,,,,,,,,,,,,,,,,8
137,JEJ,SP12,665,SP120665,,Rupicola,peruvianus,Passeriformes,Cotingidae,No,Cotingacola,rupicolae?,5,2,8,,15,L-04,,,,,,,,,,,,,,,,,15
138,JEJ,SP12,678,SP120678,,Rupicola,peruvianus,Passeriformes,Cotingidae,No,Cotingacola,rupicolae?,4,3,4,,11,L-04,,,,,,,,,,,,,,,,,11
139,JEJ,SP12,797,SP120797,,Rupicola,peruvianus,Passeriformes,Cotingidae,No,Cotingacola,rupicolae?,18,24,20,,62,L-04,,,,,,,,,,,,,,,,,62
140,JEJ,SP12,819,SP120819,,Rupicola,peruvianus,Passeriformes,Cotingidae,No,Cotingacola,rupicolae?,2,7,12,,21,L-04,,,,,,,,,,,,,,,,,21
141,JEJ,P12,1006,P121006,,Rupicola,peruvianus,Passeriformes,Cotingidae,No,Cotingacola,rupicolae?,2,0,9,,11,L-04,,,,,,,,,,,,,,,,,11
142,JEJ,SP12,1189,SP121189,,Malacoptila,fulvogularis,Piciformes,Bucconidae,Yes,Picicola?,(osheai/striata),0,1,0,,1,L-04,,,,,,,,,,,,,,,,,1
