,sample,species,degree,w_degree,elevation
314,P110175,Lepidothrix_coronata,10,0.853043121,438
315,SP110044,Leptopogon_superciliaris,77,9.064686966,1387
316,P110192,Mionectes_macconnelli,39,4.140692494,438
317,P116068,Mionectes_olivaceus,44,3.442331438,415
318,W120790,Myioborus_melanocephalus,56,7.790521263,2681
319,W130257,Myioborus_melanocephalus,57,7.763962997,2617
320,P110082,Myrmotherula_axillaris,50,5.115572387,392
321,P110133,Pipra_fasciicauda,24,2.589821312,413
322,W130693,Pipreola_intermedia,17,2.233936974,2617
323,W130559,Sporathraupis_cyanocephala,40,4.938487718,2650
324,W130566,Sporathraupis_cyanocephala,40,4.938487718,2650
325,P110421,Trogon_violaceus,33,3.722804418,422
326,P110073,Thamnomanes_ardesiacus,36,3.602134217,392
327,SP121342,Myrmotherula_schisticolor,26,2.250404426,1449
328,SP121023,Premnoplex_brunnescens,5,0.429296484,1337
329,P110425,Pipra_fasciicauda,25,2.789821312,422
330,P115948,Terenotriccus_erythrurus,7,0.390033069,397
331,P116167,Mionectes_oleagineus,58,4.552774002,600
332,P121238,Glyphorynchus_spirurus,75,7.268493963,837
333,P116149,Myrmoborus_myotherinus,46,4.601834982,600
334,SP121212,Basileuterus_tristriatus,61,7.462591448,1418
335,SP120666,Tangara_arthus,77,9.69721454,1307
336,P120712,Habia_rubica,19,2.014367205,415
337,P115909,Myrmotherula_axillaris,57,5.801869935,397
338,SP110080,Rhynchocyclus_fulvipectus,14,1.348078439,1395
339,P110294,Terenotriccus_erythrurus,7,0.390033069,398
340,SP120072,Tangara_arthus,75,9.603873089,1387
341,SP110074,Premnoplex_brunnescens,5,0.429296484,1376
342,SP110038,Trichothraupis_melanops,46,4.990517008,1387
343,SP120115,Rhynchocyclus_fulvipectus,14,1.348078439,1362
344,SP121362,Myioborus_miniatus,80,9.644690932,1449
345,W120662,Pipreola_intermedia,16,2.122825863,2833
346,P110399,Mionectes_macconnelli,38,4.015692494,414
347,W130351,Myioborus_melanocephalus,54,7.717719065,2742
348,W130353,Myioborus_melanocephalus,54,7.717719065,2742
349,SP121058,Phylloscartes_ophthalmicus,56,6.370476533,1337
350,SP120660,Myiothlypis_bivittata,30,3.325539291,1307
351,SP121117,Myiothlypis_bivittata,29,3.254110719,1387
352,P121580,Terenotriccus_erythrurus,7,0.390033069,413
353,SP121226,Myrmotherula_longicauda,17,1.766739405,1418
354,P110348,Mionectes_oleagineus,60,4.53828808,432
355,P121606,Leptopogon_amaurocephalus,77,7.748710404,413
356,P116441,Mionectes_olivaceus,28,1.890609853,397
357,SP110070,Chlorospingus_flavigularis,79,9.554253893,1376
358,P116420,Glyphorynchus_spirurus,37,4.327743608,385
359,P110258,Lepidothrix_coronata,9,0.603043121,422
360,P121019,Tunchiornis_ochraceiceps,46,4.028430616,421
361,P121020,Tunchiornis_ochraceiceps,46,4.028430616,421
362,W130369,Kleinothraupis_atropileus,51,7.176187748,2742
363,P116112,Mionectes_macconnelli,38,4.015692494,415
364,SP120764,Trichothraupis_melanops,46,4.990517008,1395
365,P116378,Thamnomanes_schistogynus,44,3.717025842,385
366,P116000,Thamnomanes_schistogynus,61,4.883413016,397
367,W121017,Pipreola_intermedia,17,2.233936974,2650
368,P110086,Isleria_hauxwelli,12,0.870708919,392
369,P121271,Glyphorynchus_spirurus,75,7.268493963,837
370,P115993,Thamnophilus_schistaceus,45,4.313409004,397
371,P110292,Xenops_minutus,33,2.625975611,398
372,W130637,Iridosornis_jelskii,19,1.865062992,2521
373,P115979,Thamnomanes_schistogynus,61,4.883413016,397
374,W120764,Myioborus_melanocephalus,56,7.790521263,2681
375,SP110027,Thripadectes_melanorhynchus,44,5.119461852,1383
