species_taxonomy_SACC_2021,deg_numeric,deg_weighted,species.x,species_jetz,TipLabel.x
Myiothlypis_bivittata,33,3.777219963,Basileuterus bivittatus,Basileuterus_bivittatus,Basileuterus_bivittatus
Myiothlypis_chrysogaster,55,4.250113579,Basileuterus chrysogaster,Basileuterus_chrysogaster,Basileuterus_chrysogaster
Myiothlypis_coronata,39,5.300949067,Basileuterus coronatus,Basileuterus_coronatus,Basileuterus_coronatus
Myiothlypis_luteoviridis,39,5.39525858,Basileuterus luteoviridis,Basileuterus_luteoviridis,Basileuterus_luteoviridis
Myiothlypis_signata,46,3.941463476,Basileuterus signatus,Basileuterus_signatus,Basileuterus_signatus
Myiozetetes_cayanensis,13,1.263254099,Myiozetetes cayanensis,Myiozetetes_cayanensis,Myiozetetes_cayanensis
Myrmoborus_leucophrys,21,1.907735784,Myrmoborus leucophrys,Myrmoborus_leucophrys,Myrmoborus_leucophrys
Myrmoborus_lophotes,7,0.600269274,Percnostola lophotes,Percnostola_lophotes,Percnostola_lophotes
Myrmoborus_myotherinus,54,5.595179627,Myrmoborus myotherinus,Myrmoborus_myotherinus,Myrmoborus_myotherinus
Myrmotherula_axillaris,95,7.661990829,Myrmotherula axillaris,Myrmotherula_axillaris,Myrmotherula_axillaris
Myrmotherula_brachyura,81,8.57314312,Myrmotherula brachyura,Myrmotherula_brachyura,Myrmotherula_brachyura
Myrmotherula_longicauda,20,2.395527284,Myrmotherula longicauda,Myrmotherula_longicauda,Myrmotherula_longicauda
Myrmotherula_longipennis,84,8.225946015,Myrmotherula longipennis,Myrmotherula_longipennis,Myrmotherula_longipennis
Myrmotherula_menetriesii,75,6.874567084,Myrmotherula menetriesii,Myrmotherula_menetriesii,Myrmotherula_menetriesii
Myrmotherula_multostriata,15,2.512896728,Myrmotherula multostriata,Myrmotherula_multostriata,Myrmotherula_multostriata
Myrmotherula_schisticolor,27,2.500404426,Myrmotherula schisticolor,Myrmotherula_schisticolor,Myrmotherula_schisticolor
Nephelomyias_ochraceiventris,21,3.159856354,Myiophobus ochraceiventris,Myiophobus_ochraceiventris,Myiophobus_ochraceiventris
Ochthoeca_rufipectoralis,9,1.47968903,Ochthoeca rufipectoralis,Ochthoeca_rufipectoralis,Ochthoeca_rufipectoralis
Odontorchilus_branickii,58,6.586949989,Odontorchilus branickii,Odontorchilus_branickii,Odontorchilus_branickii
